,Year,popu,GDP_percap,emiss_tot,SCC,DICE_1,DICE_2,DICE_3,DICE_4,DICE_5,DICE_6,DICE_7,DICE_8,DICE_9,DICE_10,DICE_11,DICE_12
0,2020,7772.71078,15.34057,12709.68505,22.83083,21.39423,27.09137,42.59565,56.29860,30.90968,40.16681,67.03822,92.81101,10.39316,12.48534,17.51218,21.30379
1,2021,7829.18539,15.75310,12885.56488,23.71211,22.21801,28.11057,44.17957,58.41405,32.08498,41.64505,69.46393,96.19347,10.81270,12.98700,18.21233,22.17109
2,2022,7882.39656,16.17025,13057.16221,24.59977,23.04722,29.14414,45.79846,60.57594,33.26782,43.14509,71.94315,99.64880,11.23506,13.49499,18.92852,23.05874
3,2023,7932.51473,16.59202,13224.60538,25.49456,23.88261,30.19228,47.45129,62.78311,34.45943,44.66725,74.47431,103.17518,11.66055,14.00946,19.66027,23.96623
4,2024,7979.70309,17.01840,13388.02017,26.39716,24.72486,31.25520,49.13706,65.03444,35.66090,46.21180,77.05588,106.77089,12.08944,14.53056,20.40710,24.89305
5,2025,8024.11755,17.44938,13547.52979,27.30821,25.57459,32.33303,50.85483,67.32889,36.87324,47.77894,79.68645,110.43428,12.52199,15.05837,21.16858,25.83873
6,2026,8065.90707,17.88495,13703.25491,28.22824,26.43234,33.42590,52.60371,69.66542,38.09736,49.36884,82.36467,114.16376,12.95841,15.59300,21.94427,26.80280
7,2027,8105.21398,18.32510,13855.31359,29.15777,27.29863,34.53386,54.38284,72.04305,39.33408,50.98161,85.08923,117.95782,13.39892,16.13451,22.73377,27.78481
8,2028,8142.17404,18.76983,14003.82137,30.09722,28.17389,35.65698,56.19142,74.46085,40.58412,52.61730,87.85895,121.81500,13.84369,16.68294,23.53668,28.78432
9,2029,8176.91668,19.21911,14148.89116,31.04700,29.05851,36.79526,58.02868,76.91790,41.84813,54.27594,90.67265,125.73392,14.29287,17.23832,24.35264,29.80092
10,2030,8209.56532,19.67294,14290.63338,32.00744,29.95285,37.94868,59.89389,79.41334,43.12668,55.95751,93.52926,129.71324,14.74661,17.80065,25.18128,30.83420
11,2031,8240.23743,20.13130,14429.15581,32.97883,30.85718,39.11720,61.78636,81.94632,44.42026,57.66195,96.42775,133.75169,15.20502,18.36994,26.02226,31.88377
