,Year,popu,GDP_percap,emiss_total,SCC,FUND_1,FUND_2,FUND_3,FUND_4,FUND_5,FUND_6,FUND_7,FUND_8,FUND_9,FUND_10,FUND_11,FUND_12
0,1950,2.52E+00,,2283.619714,,14.63914538,25.60802338,49.92381946,64.169831,38.89996917,64.68278176,111.0308019,125.4011327,0.506948114,1.555549543,3.499538001,4.600573524
1,1951,2.57E+00,3.713550701,2335.220716,14.63914538,14.93143622,26.052757,50.5971968,64.91679522,39.49412114,65.57010403,112.2217006,126.5474049,0.535715793,1.607891053,3.587411329,4.705182711
2,1952,2.61E+00,3.788584361,2390.131278,14.93143622,15.23170285,26.50676815,51.28014298,65.67239108,40.10225332,66.47375453,113.428704,127.7075598,0.566651198,1.662662353,3.677950755,4.812501411
3,1953,2.66E+00,3.865242304,2448.707934,15.23170285,15.54013584,26.97023856,51.97280566,66.43674447,40.72474552,67.39410654,114.6521738,128.8819549,0.599801367,1.719909539,3.771195725,4.922564372
4,1954,2.71E+00,3.943565197,2511.368107,15.54013584,15.85695954,27.44337845,52.67535782,67.21000639,41.36201641,68.33156548,115.8924994,130.0709741,0.635238082,1.779698817,3.867201416,5.035420603
5,1955,2.76E+00,4.023594925,2578.603815,15.85695954,16.18240862,27.92640738,53.38798391,67.99234213,42.01450349,69.28655389,117.1500937,131.275031,0.673037036,1.842099506,3.966025586,5.151121629
6,1956,2.81E+00,4.105374612,2650.99884,16.18240862,16.51672954,28.41955597,54.1108818,68.78393243,42.68266428,70.25951509,118.4253976,132.4945694,0.713279105,1.907184985,4.067729254,5.269722101
7,1957,2.86E+00,4.188948671,2729.250261,16.51672953,16.860182,28.92306685,54.84426318,69.58497428,43.36697887,71.25091367,119.7188785,133.7300646,0.756051282,1.975033398,4.172377256,5.391280294
8,1958,2.91E+00,4.274362859,2814.195504,16.860182,17.2130356,29.4371929,55.58835337,70.39568135,44.06794645,72.26123485,121.0310327,134.982026,0.801443513,2.045725606,4.280037126,5.515857325
9,1959,2.97E+00,4.361664299,2901.983495,17.2130356,17.57557002,29.96219745,56.34339254,71.2162851,44.786086,73.29098426,122.3623871,136.2509976,0.849547903,2.119344774,4.390779084,5.643517239
10,1960,3.02E+00,4.450901552,2989.769525,17.57557002,17.94808195,30.49835973,57.10963919,72.04703857,45.52194488,74.34069539,123.7135031,137.5375639,0.900464132,2.195980302,4.504678734,5.774329395
11,1961,3.08E+00,4.528238034,3082.205849,17.94808195,18.33085735,31.04594668,57.88733943,72.88818265,46.27607089,75.41090199,125.0849461,138.8423147,0.954273922,2.275702704,4.621791994,5.908343224
12,1962,3.14E+00,4.607048034,3179.606599,18.33085736,18.72420559,31.60524361,58.67675529,73.73997326,47.0490499,76.50216985,126.4773154,140.1658728,1.011071843,2.358591234,4.742180112,6.04561242
13,1963,3.21E+00,4.687367721,3282.313244,18.7242056,19.12843545,32.17653873,59.47815501,74.60267491,47.84148204,77.61508567,127.8912387,141.5088956,1.070943402,2.444718619,4.865899885,6.186186927
14,1964,3.27E+00,4.769234407,3390.697428,19.12843546,19.54385761,32.76012402,60.2918141,75.47656052,48.6539844,78.75025481,129.3273715,142.8720707,1.133964823,2.534150911,4.99300357,6.330112807
15,1965,3.34E+00,4.852686592,3505.164145,19.54385761,19.97079736,33.35630449,61.11802132,76.36191629,49.48720524,79.90831348,130.7864056,144.2561223,1.200214299,2.626955039,5.12354341,6.477435831
16,1966,3.41E+00,4.937763999,3626.155271,19.97079737,20.40959062,33.96539572,61.95707701,77.25904129,50.34182123,81.08992785,132.2690686,145.6618153,1.26976728,2.723195472,5.257569386,6.628199597
17,1967,3.48E+00,5.024507621,3754.153506,20.40959062,20.86058513,34.58772472,62.80929446,78.16824825,51.21854028,82.29579651,133.7761301,147.0899592,1.34269657,2.822934077,5.395128883,6.782445107
18,1968,3.55E+00,5.112959768,3889.686772,20.86058513,21.32414871,35.22363583,63.67500385,79.08986696,52.11811259,83.52666022,135.3084085,148.5414156,1.419078926,2.926234273,5.536268838,6.940212289
19,1969,3.62E+00,5.203164113,3970.694424,21.32414871,21.80067439,35.8734944,64.55455551,80.02424772,53.04133936,84.78330975,136.8667841,150.0171115,1.498997699,3.033162262,5.681035819,7.101539733
20,1970,3.69E+00,5.29516574,4046.708734,21.80067439,22.29057064,36.53768076,65.44831657,80.971759,53.98906715,86.06658709,138.452203,151.5180473,1.582530895,3.143778038,5.829469379,7.266458738
21,1971,3.76E+00,5.38713428,4125.746481,22.29057064,22.7944221,37.21675837,66.35684486,81.93296177,54.96236172,87.3775671,140.0658719,153.0454924,1.66989155,3.258283647,5.981756496,7.435149509
22,1972,3.83E+00,5.480938574,4207.962374,22.79442211,23.31278519,37.91128031,67.28070994,82.90843829,55.96230277,88.71737094,141.7090967,154.6008364,1.761245968,3.376848183,6.138064677,7.607777624
23,1973,3.90E+00,5.576626892,4293.520244,23.3127852,23.84629406,38.62187566,68.22056572,83.89886053,56.99011271,90.08728068,143.3833999,156.1857089,1.856804004,3.499678234,6.298594484,7.784540533
24,1974,3.97E+00,5.674249072,4382.593634,23.84629406,24.3956508,39.34925197,69.1771669,84.90501327,58.04716797,91.48877857,145.0906002,157.8020741,1.956800818,3.627006845,6.463574583,7.965664565
25,1975,4.05E+00,5.773856576,4475.366437,24.3956508,24.96164472,40.09422162,70.15141061,85.92784337,59.13506054,92.92363516,146.8329607,159.4524054,2.061498348,3.7590964,6.63326611,8.151409864
26,1976,4.12E+00,5.875502548,4572.033567,24.96164472,25.54518953,40.85774971,71.14440719,86.9685432,60.25570191,94.39406144,148.6134388,161.1399725,2.171196039,3.896248387,6.80797218,8.34208008
27,1977,4.20E+00,5.979241867,4672.801691,25.54518954,26.14736486,41.64101871,72.15758733,88.02867961,61.41147275,95.90294225,150.4360832,162.8693067,2.28623042,4.038806674,6.988044996,8.53803096
28,1978,4.28E+00,6.085131213,4777.89,26.14736487,26.769487,42.44553652,73.19287987,89.11040841,62.60547343,97.4542239,152.3066947,164.6469736,2.40697522,4.187162777,7.173896632,8.739683449
29,1979,4.36E+00,6.193229131,4776.996987,26.769487,27.40115517,43.25550383,74.2238267,90.18162831,63.79825421,98.98633739,154.1193693,166.3490808,2.533536922,4.341222523,7.365077971,8.946394586
30,1980,4.44E+00,6.303596089,4811.143287,27.40115517,28.04303217,44.07141331,75.25062421,91.24237882,64.99079052,100.4999056,155.8741926,167.9754593,2.666356501,4.501435683,7.562032586,9.158599752
