,Year,popu,GDP_percap,emiss_tot,SCC_base,PAGE_2.8_1.5,PAGE_3.8_1.5,PAGE_6.7_1.5,PAGE_11_1.5,PAGE_2.8_1.03,PAGE_3.8_1.03,PAGE_6.7_1.03,PAGE_11_1.03,PAGE_2.8_3,PAGE_3.8_3,PAGE_6.7_3,PAGE_11_3
0,2020,7608.085938,13.33124542,42366.00,240.1669922,168.0942383,286.4335938,816.2851563,1764.890625,240.1601563,412.5175781,1152.175781,2383.84375,73.99511719,123.3681641,356.2324219,863.359375
1,2021,7678.569336,13.72289276,42659.375,244.125,171.0292969,291.9023438,833.2851563,1786.09375,244.1240234,419.8652344,1174.464844,2410.25,75.84082031,126.7314453,367.1230469,884.140625
2,2022,7748.105469,14.11679459,42980.375,248.0732422,173.9819336,297.3974609,850.140625,1808.226563,248.0498047,427.1523438,1196.242188,2437.015625,77.60449219,129.9765625,377.6152344,903.703125
3,2023,7816.638672,14.51221466,43331.75,252.0263672,176.9648438,302.9248047,866.8671875,1831.125,252.0185547,434.4863281,1217.710938,2464.96875,79.31835938,133.1289063,387.8105469,922.4609375
4,2024,7884.105469,14.90829849,43709.375,256.0498047,180.015625,308.5664063,883.7460938,1855.179688,256.0283203,441.8769531,1238.972656,2494.109375,80.99804688,136.2304688,397.7714844,940.53125
5,2025,7950.455078,15.30457306,44114,260.1455078,183.1420898,314.3408203,900.7695313,1880.59375,260.1357422,449.4433594,1260.304688,2524.953125,82.65625,139.3173828,407.5917969,958.3203125
6,2026,8015.646484,15.70062256,44543.75,264.3652344,186.3613281,320.2763672,918.0351563,1907.367188,264.3544922,457.1796875,1281.816406,2557.304688,84.31201172,142.3701172,417.3964844,975.7421875
7,2027,8079.632813,16.09593964,44998.125,268.703125,189.684082,326.3789063,935.6171875,1935.921875,268.6904297,465.125,1303.628906,2591.96875,85.9765625,145.4658203,427.1855469,992.96875
8,2028,8142.382813,16.49029922,45473,273.1933594,193.1298828,332.6972656,953.640625,1965.90625,273.1884766,473.3457031,1325.851563,2628.867188,87.6484375,148.5634766,437.0117188,1010.539063
9,2029,8203.864258,16.88349533,45966.625,277.8544922,196.6928711,339.2441406,972.0742188,1997.742188,277.8398438,481.859375,1348.574219,2667.742188,89.34765625,151.7265625,446.9316406,1028.0625
10,2030,8264.039063,17.2754364,46475.75,282.6796875,200.3955078,345.9980469,991.0039063,2031.390625,282.6816406,490.6757813,1371.824219,2709.210938,91.07275391,154.9404297,456.9785156,1046.070313
11,2031,8322.885742,17.66608047,46997.25,287.6943359,204.222168,352.9990234,1010.429688,2066.773438,287.6875,499.8183594,1395.847656,2752.921875,92.82617188,158.2099609,467.2089844,1064.304688
12,2032,8380.37793,18.05543518,47531,292.90625,208.1899414,360.2480469,1030.460938,2104.023438,292.890625,509.2773438,1420.503906,2799.015625,94.62841797,161.5664063,477.5683594,1083.09375
13,2033,8436.485352,18.4436264,48070.75,298.2861328,212.2958984,367.7490234,1051.054688,2143,298.2900391,519.0800781,1445.921875,2847.695313,96.45507813,164.9677734,488.1757813,1102.328125
14,2034,8491.188477,18.83080292,48617.625,303.8945313,216.5390625,375.4873047,1072.121094,2183.742188,303.8730469,529.2519531,1472.050781,2898.664063,98.33105469,168.4716797,498.9394531,1122.179688
15,2035,8544.481445,19.21716309,49165.5,309.6767578,220.9052734,383.4306641,1093.78125,2226.25,309.6572266,539.7636719,1499.074219,2952.28125,100.2470703,172.0214844,509.9257813,1142.445313
16,2036,8596.337891,19.60302734,49713.875,315.6533203,225.4077148,391.6367188,1115.984375,2270.390625,315.6455078,550.640625,1526.785156,3007.960938,102.2026367,175.6416016,521.0839844,1163.226563
17,2037,8646.740234,19.98863602,50260.625,321.8066406,230.0205078,400.0576172,1138.761719,2315.984375,321.8017578,561.8105469,1555.296875,3065.835938,104.2021484,179.3662109,532.4453125,1184.632813
18,2038,8695.674805,20.37438202,50803.625,328.1425781,234.7661133,408.6845703,1162.015625,2362.96875,328.1416016,573.3222656,1584.613281,3126.054688,106.2265625,183.1279297,543.9824219,1206.375
19,2039,8743.130859,20.76065826,51340.75,334.6669922,239.6108398,417.5214844,1185.78125,2411.570313,334.6542969,585.1464844,1614.632813,3188.273438,108.2895508,186.953125,555.6816406,1228.71875
20,2040,8789.097656,21.14788437,51871,341.3457031,244.5654297,426.5097656,1209.953125,2461.304688,341.3427734,597.2636719,1645.414063,3252.289063,110.3808594,190.8349609,567.5273438,1251.476563
21,2041,8833.561523,21.53650284,52392.625,348.1904297,249.6113281,435.6640625,1234.585938,2512.0625,348.1689453,609.6445313,1676.882813,3318.3125,112.503418,194.7597656,579.5136719,1274.609375
22,2042,8876.518555,21.92693329,52905.5,355.1621094,254.7324219,444.9990234,1259.578125,2564.007813,355.1513672,622.2851563,1708.992188,3385.734375,114.6416016,198.7412109,591.515625,1298.054688
23,2043,8917.948242,22.31971359,53409,362.2734375,259.925293,454.4580078,1284.882813,2616.804688,362.2597656,635.1894531,1741.722656,3454.960938,116.796875,202.7207031,603.6953125,1321.726563
24,2044,8957.858398,22.71527481,53902.25,369.4970703,265.1962891,464.0351563,1310.507813,2670.375,369.4960938,648.2890625,1774.964844,3525.304688,118.9741211,206.75,615.8730469,1345.5625
25,2045,8996.226563,23.11420441,54385.25,376.8476563,270.5073242,473.7001953,1336.347656,2724.59375,376.8457031,661.5917969,1808.773438,3597.023438,121.144043,210.7666016,628.109375,1369.65625
26,2046,9033.063477,23.51699448,54856.875,384.2705078,275.8759766,483.4433594,1362.441406,2779.273438,384.2578125,675.0664063,1843.019531,3669.71875,123.3266602,214.7802734,640.2929688,1393.757813
27,2047,9068.355469,23.9241066,55319.75,391.7949219,281.2685547,493.2509766,1388.664063,2834.320313,391.7890625,688.6542969,1877.640625,3743.226563,125.5024414,218.7998047,652.4121094,1417.851563
28,2048,9102.09375,24.33606339,55773.5,399.3828125,286.6835938,503.0976563,1414.984375,2889.6875,399.3681641,702.3964844,1912.636719,3817.492188,127.6591797,222.7929688,664.4980469,1441.960938
29,2049,9134.283203,24.75342941,56219.375,407.0166016,292.1088867,512.9560547,1441.335938,2945.101563,407.0107422,716.2226563,1947.898438,3892.304688,129.8007813,226.7451172,676.4902344,1465.921875
30,2050,9164.915039,25.17666245,56658.25,414.7060547,297.5336914,522.8076172,1467.734375,3000.382813,414.6875,730.1132813,1983.441406,3967.53125,131.9287109,230.6611328,688.3535156,1489.4375
31,2051,9193.991211,25.60616684,57090.625,422.3935547,302.9521484,532.6611328,1494.066406,3055.671875,422.3886719,744.078125,2019.050781,4042.875,134.0234375,234.5244141,700.0332031,1512.875
32,2052,9221.519531,26.0425415,57519.75,430.1064453,308.3447266,542.453125,1520.339844,3110.382813,430.0830078,757.9941406,2054.792969,4118.390625,136.0883789,238.3408203,711.5195313,1535.867188
33,2053,9247.490234,26.48617935,57946.125,437.8212891,313.7075195,552.1796875,1546.421875,3164.960938,437.8007813,771.9453125,2090.546875,4193.484375,138.1020508,242.0654297,722.7714844,1558.375
34,2054,9271.90918,26.9375,58371.125,445.5175781,319.03125,561.8554688,1572.394531,3218.875,445.4980469,785.8730469,2126.371094,4268.617188,140.0761719,245.7070313,733.8027344,1580.3125
35,2055,9294.789063,27.39692688,58796.875,453.1748047,324.2875977,571.4199219,1598.019531,3272.046875,453.171875,799.7148438,2162.074219,4343.226563,141.9995117,249.2617188,744.5566406,1601.71875
36,2056,9316.120117,27.86485672,59225.75,460.7998047,329.4985352,580.8847656,1623.457031,3324.625,460.7792969,813.5019531,2197.683594,4417.296875,143.875,252.7070313,754.9804688,1622.414063
37,2057,9335.913086,28.3416748,59658.375,468.3691406,334.6425781,590.2119141,1648.558594,3376.195313,468.3535156,827.1699219,2233.070313,4490.554688,145.675293,256.0537109,765.0292969,1642.25
38,2058,9354.188477,28.8276329,60099,475.8691406,339.7016602,599.3896484,1673.261719,3426.898438,475.8535156,840.7207031,2268.144531,4563.023438,147.4272461,259.2753906,774.7890625,1661.5
39,2059,9370.935547,29.32316208,60546.75,483.28125,344.6650391,608.4072266,1697.589844,3476.226563,483.2802734,854.1347656,2302.949219,4634.4375,149.1015625,262.3652344,784.1191406,1679.757813
40,2060,9386.177734,29.82842636,61006.875,490.6132813,349.5371094,617.2548828,1721.527344,3524.53125,490.6132813,867.3671875,2337.449219,4704.757813,150.7070313,265.3183594,793.0839844,1697.054688
41,2061,9399.926758,30.34372711,61477.125,497.8525391,354.3266602,625.9355469,1744.902344,3571.59375,497.8359375,880.390625,2371.507813,4773.734375,152.2338867,268.1513672,801.5625,1713.390625
42,2062,9412.182617,30.86929321,61961.875,504.9765625,358.9921875,634.3935547,1767.832031,3617.21875,504.9658203,893.2539063,2405.0625,4841.523438,153.6713867,270.8261719,809.6503906,1728.84375
43,2063,9422.977539,31.40529633,62462.75,511.9755859,363.5361328,642.6503906,1790.28125,3661.296875,511.9658203,905.8671875,2438.238281,4907.664063,155.0317383,273.3378906,817.2675781,1743.078125
44,2064,9432.322266,31.951931,62979.375,518.8457031,367.9746094,650.7011719,1812.070313,3704.039063,518.8476563,918.2636719,2470.796875,4972.3125,156.3105469,275.7080078,824.4082031,1756.257813
45,2065,9440.235352,32.50928497,63515,525.5898438,372.2783203,658.5039063,1833.335938,3745.257813,525.5820313,930.4023438,2502.835938,5035.328125,157.496582,277.9130859,831.0488281,1768.289063
46,2066,9446.741211,33.07749939,64071.5,532.1845703,376.4433594,666.0742188,1853.9375,3784.5625,532.1679688,942.2617188,2534.222656,5096.625,158.5859375,279.9609375,837.1875,1779.132813
47,2067,9451.852539,33.65659714,64645.875,538.6240234,380.5043945,673.3955078,1874.03125,3822.476563,538.6191406,953.8535156,2565.054688,5155.953125,159.590332,281.8369141,842.8320313,1788.796875
48,2068,9455.603516,34.2466507,65241.5,544.9189453,384.4038086,680.4726563,1893.394531,3858.640625,544.8916016,965.1699219,2595.101563,5213.585938,160.4941406,283.5332031,847.9804688,1797.203125
49,2069,9458.007813,34.84773254,65858.5,551.0361328,388.1645508,687.2900391,1912.121094,3893.03125,551.0244141,976.1640625,2624.546875,5269.390625,161.3066406,285.0517578,852.6171875,1804.367188
50,2070,9459.095703,35.45980072,66495.5,556.9804688,391.7788086,693.8320313,1930.089844,3925.679688,556.9833984,986.8535156,2653.1875,5322.929688,162.0268555,286.4023438,856.6855469,1810.289063
51,2071,9458.899414,36.08285904,67154.125,562.7822266,395.2685547,700.1230469,1947.527344,3956.28125,562.7626953,997.2695313,2681.152344,5374.570313,162.6445313,287.5898438,860.2539063,1814.992188
52,2072,9457.456055,36.71684265,67831.875,568.3935547,398.6069336,706.1591797,1964.183594,3985.46875,568.3857422,1007.330078,2708.386719,5424.1875,163.1762695,288.5908203,863.2890625,1818.234375
53,2073,9454.777344,37.36173248,68529.5,573.8369141,401.7983398,711.9384766,1980.214844,4012.710938,573.828125,1017.072266,2734.851563,5471.789063,163.6040039,289.4267578,865.8066406,1820.398438
54,2074,9450.916992,38.01747513,69245.25,579.0878906,404.8344727,717.4267578,1995.570313,4038.179688,579.0917969,1026.492188,2760.523438,5517.070313,163.9399414,290.0986328,867.8144531,1821.210938
55,2075,9445.895508,38.68400192,69977.875,584.1816406,407.7412109,722.6513672,2010.15625,4061.804688,584.1816406,1035.576172,2785.421875,5560.476563,164.184082,290.5859375,869.3183594,1820.820313
56,2076,9439.748047,39.36126709,70724.5,589.0791016,410.5048828,727.6386719,2024.195313,4083.703125,589.0966797,1044.337891,2809.535156,5601.710938,164.340332,290.9375,870.2890625,1819.265625
57,2077,9432.511719,40.04920959,71483.625,593.8320313,413.1245117,732.3544922,2037.503906,4103.75,593.8154297,1052.787109,2832.808594,5640.757813,164.4003906,291.1123047,870.8183594,1816.429688
58,2078,9424.219727,40.74768829,72253.625,598.3896484,415.5996094,736.8007813,2050.144531,4122.03125,598.3759766,1060.896484,2855.472656,5678.007813,164.387207,291.109375,870.8359375,1812.351563
59,2079,9414.913086,41.45680237,73030.75,602.7636719,417.949707,741.0166016,2062.175781,4138.6875,602.7558594,1068.695313,2877.265625,5712.992188,164.2714844,290.9755859,870.4121094,1807.234375
60,2080,9404.628906,42.17646027,73812.5,606.9677734,420.1552734,744.9970703,2073.527344,4153.679688,606.9648438,1076.171875,2898.332031,5746.015625,164.081543,290.6777344,869.5527344,1800.984375
61,2081,9393.389648,42.90664291,74595,611.0117188,422.2363281,748.7314453,2084.285156,4167.210938,611.0126953,1083.353516,2918.570313,5776.976563,163.8164063,290.2695313,868.2382813,1793.507813
62,2082,9381.246094,43.64745331,75377.25,614.8955078,424.2143555,752.2167969,2094.472656,4179.117188,614.8935547,1090.212891,2938.132813,5806.15625,163.4780273,289.6865234,866.5117188,1785.289063
63,2083,9368.226563,44.39892197,76152.125,618.6162109,426.0410156,755.5029297,2104.09375,4189.46875,618.5947266,1096.777344,2956.960938,5833.53125,163.0649414,289.0029297,864.3730469,1775.84375
64,2084,9354.367188,45.16117859,76918.5,622.1699219,427.7758789,758.5742188,2113.199219,4198.3125,622.171875,1103.074219,2975.132813,5858.789063,162.5810547,288.1738281,861.8964844,1765.4375
65,2085,9339.691406,45.93445969,77671.875,625.5800781,429.3896484,761.4550781,2121.722656,4205.9375,625.5722656,1109.072266,2992.660156,5882.5,162.0454102,287.2646484,859.046875,1754.210938
66,2086,9324.243164,46.71896744,78411.25,628.8544922,430.9106445,764.1318359,2129.832031,4212.085938,628.8466797,1114.826172,3009.535156,5904.507813,161.4467773,286.2265625,855.9101563,1742.09375
67,2087,9308.029297,47.51501846,79127.5,631.9941406,432.3364258,766.6347656,2137.398438,4217.171875,631.9814453,1120.300781,3025.734375,5924.828125,160.7949219,285.0898438,852.4550781,1729.320313
68,2088,9291.09375,48.32301712,79822,635,433.671875,768.9609375,2144.53125,4221.070313,634.984375,1125.550781,3041.410156,5943.695313,160.0947266,283.8671875,848.7558594,1715.78125
69,2089,9273.4375,49.14345932,80489.125,637.8662109,434.9116211,771.1542969,2151.324219,4223.882813,637.8505859,1130.578125,3056.488281,5961.171875,159.3466797,282.5751953,844.7695313,1701.664063
70,2090,9255.091797,49.97695923,81127.125,640.6386719,436.0795898,773.1943359,2157.765625,4225.726563,640.6142578,1135.369141,3071.082031,5977.21875,158.5703125,281.2148438,840.6191406,1686.765625
71,2091,9236.061523,50.82426453,81732.75,643.2880859,437.1826172,775.1162109,2163.871094,4226.765625,643.2773438,1139.994141,3085.109375,5992.101563,157.7573242,279.7871094,836.265625,1671.515625
72,2092,9216.350586,51.68615341,82304.375,645.8320313,438.2265625,776.8984375,2169.671875,4226.914063,645.8330078,1144.416016,3098.820313,6005.78125,156.9189453,278.3154297,831.7148438,1655.734375
73,2093,9195.949219,52.56363297,82840.125,648.3164063,439.2124023,778.6240234,2175.226563,4226.390625,648.2958984,1148.669922,3112.113281,6018.476563,156.0644531,276.7998047,827.1113281,1639.671875
74,2094,9174.866211,53.45783615,83339,650.6748047,440.1743164,780.2294922,2180.570313,4225.226563,650.6728516,1152.757813,3124.976563,6030.179688,155.1762695,275.2578125,822.3632813,1623.289063
75,2095,9153.074219,54.37008667,83803,652.9882813,441.0693359,781.7744141,2185.703125,4223.65625,652.9863281,1156.724609,3137.605469,6040.984375,154.3012695,273.7050781,817.5605469,1606.75
76,2096,9130.546875,55.30183792,84231.625,655.2431641,441.9575195,783.3007813,2190.761719,4221.710938,655.2236328,1160.580078,3149.875,6051.070313,153.4194336,272.1337891,812.7460938,1589.976563
77,2097,9107.259766,56.25476456,84628.375,657.4472656,442.815918,784.7451172,2195.664063,4219.375,657.4248047,1164.34375,3161.976563,6060.632813,152.5297852,270.5761719,807.9609375,1573.25
78,2098,9083.155273,57.23073959,84995.75,659.5751953,443.6738281,786.1806641,2200.59375,4216.828125,659.5771484,1167.998047,3173.882813,6069.617188,151.659668,269.0410156,803.1894531,1556.429688
79,2099,9058.174805,58.23188782,85338,661.6992188,444.5205078,787.5917969,2205.457031,4214.242188,661.6835938,1171.597656,3185.550781,6078.34375,150.8012695,267.5126953,798.5039063,1539.695313
80,2100,9032.250977,59.26050949,85664,663.7910156,445.371582,789.0332031,2210.375,4211.703125,663.7646484,1175.154297,3197.195313,6086.648438,149.9599609,266.0253906,793.8574219,1523.21875
